,Ranking,Total Amount,待完善,Excluded bcz citizenship/SOE/edc,Name (EN),Name (CN),Comment,Year born,Age,Sex,Ethnicity,Bio Link,Industry,Company Name,Company Name (CN),Publicly Listed? (Y/N),Company Position,Corporate HQ (Province),Corporate HQ (City),Company Link,Donor Entity Name,Donation Amount (mil ¥),Donation Month,Donation Date,Donation Origin (Province),Donation Origin (City),Donation Destination (Province),Donation Destination (City),Name of Recipient,Name of Recipient (CN),Donation for what program?,Type of Recipient,Donation Cause,Donation Vehicle,Form of Donation,Pledge? (Y/N),UID-Don't Delete,Donation Link,Donatlon Link 2,Donation Link 3,Other Donation Link(s),"Human Search (1,2,3,4)","Web Crawler (1,2,3,4)","Self-Report (1,2,3,4)","Foundation (1,2,3,4)",CFC Validated? (Y/N),Source Type,Receipt? (Y/N),Credibility,Researcher,Last Update,Web Crawler Platform,Search Term
Y,3,1096.18,,,Lu Zhiqiang,卢志强,,,,,,,,,,,,,,,Oceanwide Foundation,700,12,21,Beijing,Beijing,Shanghai,Shanghai,Fudan University Education Development Foundation,,,University or University Foundation,Education,Corporate Foundation,Cash,N,卢志强-Oceanwide Foundation-700-12-Fudan University Education Development Foundation-,Link1,Link2,,,1st,,,,,"One from donator, one from receiver",,Y,Zijia Guo,2016/2/23,,
Y,3,1096.18,,,Lu Zhiqiang,卢志强,,,,,,,,,,,,,,,Oceanwide Foundation,93.18,4,11,Beijing,Beijing,Yunnan,Kunming,Kunming Xundian County Government,昆明寻甸县,,Government,Social Welfare & Poverty Alleviation,Corporate Foundation,Cash,N,卢志强-Oceanwide Foundation-93.18-4-Kunming Xundian County Government-昆明寻甸县,Link,,,,,,,1st,,,,,Xueshan Zhang,2017/1/9,,
Y,3,1096.18,,,Lu Zhiqiang,卢志强,,,,,,,,,,,,,,,Oceanwide Foundation,50,5,8,Beijing,Beijing,Shandong,,Individual(s),,,Individual(s),Education,Corporate Foundation,Cash,N,卢志强-Oceanwide Foundation-50-5-Individual(s)-,Link,,,,1st,,,,,One from donor,,Need to check with the receiver,Huang YiQing,2016/12/2,,
Y,3,1096.18,,,Lu Zhiqiang,卢志强,,,,,,,,,,,,,,,Oceanwide Foundation,50,5,8,Beijing,Beijing,Hubei,,Individual(s),,,Individual(s),Education,Corporate Foundation,Cash,N,卢志强-Oceanwide Foundation-50-5-Individual(s)-,Link,,,,1st,,,,,One from donor,,Need to check with the receiver,Huang YiQing,2016/12/2,,
Y,3,1096.18,,,Lu Zhiqiang,卢志强,,,,,,,,,,,,,,,Oceanwide Foundation,50,5,8,Beijing,Beijing,Guangxi,,Individual(s),,,Individual(s),Education,Corporate Foundation,Cash,N,卢志强-Oceanwide Foundation-50-5-Individual(s)-,Link,,,,1st,,,,,One from donor,,Need to check with the receiver,Huang YiQing,2016/12/2,,
Y,3,1096.18,,,Lu Zhiqiang,卢志强,,,,,,,,,,,,,,,Oceanwide Foundation,50,5,8,Beijing,Beijing,Guizhou,,Individual(s),,,Individual(s),Education,Corporate Foundation,Cash,N,卢志强-Oceanwide Foundation-50-5-Individual(s)-,Link,,,,1st,,,,,One from donor,,Need to check with the receiver,Huang YiQing,2016/12/2,,
Y,3,1096.18,,,Lu Zhiqiang,卢志强,,,,,,,,,,,,,,,Oceanwide Foundation,50,5,8,Beijing,Beijing,Chongqing,,Individual(s),,,Individual(s),Education,Corporate Foundation,Cash,N,卢志强-Oceanwide Foundation-50-5-Individual(s)-,Link,,,,1st,,,,,One from donor,,Need to check with the receiver,Huang YiQing,2016/12/2,,
Y,3,1096.18,,,Lu Zhiqiang,卢志强,,,,,,,,,,,,,,,Oceanwide Foundation,50,5,8,Beijing,Beijing,Shanxi,,Individual(s),,,Individual(s),Education,Corporate Foundation,Cash,N,卢志强-Oceanwide Foundation-50-5-Individual(s)-,Link,,,,1st,,,,,One from donor,,Need to check with the receiver,Huang YiQing,2016/12/2,,
Y,3,1096.18,,,Lu Zhiqiang,卢志强,,1952,64,M,Han,http://baike.baidu.com/item/%E5%8D%A2%E5%BF%97%E5%BC%BA/12499,Real Estate,China Oceanwide Holdings Group,中国泛海控股集团,,Chairman,Beijing,Beijing,http://baike.baidu.com/view/2677576.htm,Oceanwide Foundation,3,11,9,Beijing,Beijing,Hubei,Huanggang,China Society for Promotion of the Guangcai Program,,,Government Charitable Organization,Public Health,Corporate Foundation,Cash,N,卢志强-Oceanwide Foundation-3-11-China Society for Promotion of the Guangcai Program-,Link1,Link2,,,1st,,,,,"One from receiver, one from third party",,Y,Zijia Guo,2016/2/23,,
Y,4,1072,,,Wang Jianlin,王健林,,,,,,,,,,,,,,,Dalian Wanda Group,"1,000",12,16,Beijing,Beijing,Nanjing,Nanjing,Nanjing Government,,,Government,Culture,Corporation,Cash,N,王健林-Dalian Wanda Group-1000-12-Nanjing Government-,Link,,,,1st,,,,,One from donor with pictures,,Y,Huang YiQing,2016/12/2,,
