,Ranking,Total Amount,待完善,Excluded bcz citizenship/SOE/edc,Name (EN),Name (CN),Comment,Year born,Age,Sex,Ethnicity,Bio Link,Industry,Company Name,Company Name (CN),Publicly Listed? (Y/N),Company Position,Corporate HQ (Province),Corporate HQ (City),Company Link,Donor Entity Name,Donation Amount (mil ¥),Donation Month,Donation Date,Donation Origin (Province),Donation Origin (City),Donation Destination (Province),Donation Destination (City),Name of Recipient,Name of Recipient (CN),Donation for what program?,Type of Recipient,Donation Cause,Donation Vehicle,Form of Donation,Pledge? (Y/N),UID-Don't Delete,Donation Link,Donatlon Link 2,Donation Link 3,Other Donation Link(s),"Human Search (1,2,3,4)","Web Crawler (1,2,3,4)","Self-Report (1,2,3,4)","Foundation (1,2,3,4)",CFC Validated? (Y/N),Source Type,Receipt? (Y/N),Credibility,Researcher,Last Update,Web Crawler Platform,Search Term
Y,36,31.428757,,,Hong Qi,洪崎,,,,,,,,,,,,,,,中国民生银行股份有限公司,0.1183,12,17,Beijing,Beijing,Beijing,Beijing,China Foundation for Poverty Alleviation,,教育扶贫项目,Government Charitable Organization,Education,Corporation,Cash,N,洪崎-中国民生银行股份有限公司-0.1183-12-China Foundation for Poverty Alleviation-,Link,,,,,,,1st,,,,,Huang YiQing,,,
Y,36,31.428757,,,Hong Qi,洪崎,,,,,,,,,,,,,,,中国民生银行股份有限公司,0.10625,12,17,Beijing,Beijing,Beijing,Beijing,China Foundation for Poverty Alleviation,,教育扶贫项目,Government Charitable Organization,Education,Corporation,Cash,N,洪崎-中国民生银行股份有限公司-0.10625-12-China Foundation for Poverty Alleviation-,Link,,,,,,,1st,,,,,Huang YiQing,,,
Y,36,31.428757,,,Hong Qi,洪崎,,,,,,,,,,,,,,,中国民生银行股份有限公司,0.1037,12,17,Beijing,Beijing,Sichuan,Wenchuan,China Foundation for Poverty Alleviation,,社区发展项目,Government Charitable Organization,Disaster Relief,Corporation,Cash,N,洪崎-中国民生银行股份有限公司-0.1037-12-China Foundation for Poverty Alleviation-,Link,,,,,,,1st,,,,,Huang YiQing,,,
Y,36,31.428757,,,Hong Qi,洪崎,,,,,,,,,,,,,,,中国民生银行股份有限公司,0.03463433333,12,17,Beijing,Beijing,Beijing,Beijing,China Foundation for Poverty Alleviation,,"教育扶贫项目,医疗培训项目,社区发展项目",Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,洪崎-中国民生银行股份有限公司-0.0346343333333333-12-China Foundation for Poverty Alleviation-,,,,,,,,,,,,,Huang YiQing,,,
Y,36,31.428757,,,Hong Qi,洪崎,,,,,,,,,,,,,,,中国民生银行股份有限公司,0.03463433333,12,17,Beijing,Beijing,Beijing,Beijing,China Foundation for Poverty Alleviation,,"教育扶贫项目,医疗培训项目,社区发展项目",Government Charitable Organization,Education,Corporation,Cash,N,洪崎-中国民生银行股份有限公司-0.0346343333333333-12-China Foundation for Poverty Alleviation-,,,,,,,,,,,,,Huang YiQing,,,
Y,36,31.428757,,,Hong Qi,洪崎,,,,,,,,,,,,,,,中国民生银行股份有限公司,0.03463433333,12,17,Beijing,Beijing,Beijing,Beijing,China Foundation for Poverty Alleviation,,"教育扶贫项目,医疗培训项目,社区发展项目",Government Charitable Organization,Public Health,Corporation,Cash,N,洪崎-中国民生银行股份有限公司-0.0346343333333333-12-China Foundation for Poverty Alleviation-,,,,,,,,,,,,,Huang YiQing,,,
Y,37,30,,,Liu Wei,刘伟,,1965,51,M,Han,Link,Software and Internet,PCI Group,广州佳都集团,,Chairman,Guangdong,Guangzhou,Link,PCI Group,30,9,17,Guangdong,Guangzhou,Guangdong,Zhuhai,Zhongshan University,中山大学,,University or University Foundation,Education,Corporation,Cash,N,刘伟-PCI Group-30-9-Zhongshan University-中山大学,Link,,,,1st,,,,,One from receiver,,Y,Huang YiQing,2016/11/30,,
Y,37,30,,,Ye Jianrong,叶建荣,,1966,50,M,,Link,Manufacturing,"SHUIYI HOLDING GROUP CO., LTD.",沁园集团,,Chairman,Zhejiang,Ningbo,Link,Ye Jianrong,30,5,20,Zhejiang,Ningbo,Zhejiang,Ningbo,Ningbo University,,,University or University Foundation,Education,Individual,Cash,N,叶建荣-Ye Jianrong-30-5-Ningbo University-,Link1,Link2,Link3,,1st,,,,,"One from receiver, others from third party",,Y,Huang YiQing,2016/12/2,,
Y,37,30,,,Fang Ming,方明,,1965,51,M,Han,Link,Manufacturing,Fang Yuan Group,方圆集团,,Chairman,Shandong,Haiyang,Link,Fang Yuan Group,30,9,17,Shandong,Haiyang,Guangdong,Zhuhai,Zhongshan University,中山大学,,University or University Foundation,Education,Corporation,Cash,N,方明-Fang Yuan Group-30-9-Zhongshan University-中山大学,Link,,,,1st,,,,,One from receiver,,Y,Huang YiQing,2016/11/30,,
Y,37,30,,,Li Ping,李平,,1967,49,M,,http://baike.baidu.com/view/3916712.htm,Software and Internet,"Kyland Technology Co., Ltd",北京东土科技股份有限公司,Y,CEO,Beijing,Beijing,http://baike.baidu.com/view/3916712.htm,Li Ping,30,11,12,Beijing,Beijing,Sichuan,Chengdu,,四川大学教育基金会,,University or University Foundation,Education,Individual,Cash,N,李平-Li Ping-30-11--四川大学教育基金会,,,,,1st,,,2nd,,Credible third party,,Y,Li Yingyu - Xueshan,1/10/2017,,
Y,37,30,,,Li Yanhong,李彦宏,,1968,48,M,Han,Link,Software and Internet,Baidu Group,百度,,Chairman & CEO,Beijing,Beijing,Link,Li Yanhong,30,12,22,Beijing,Beijing,Beijing,Beijing,Peking Union Medical College Hospital,北京协和医院,,Hospital,Public Health,Individual,Cash,N,李彦宏-Li Yanhong-30-12-Peking Union Medical College Hospital-北京协和医院,Link1,Link2,,,1st,,,,,Two from third party,,Need to check with the receiver,Huang YiQing,2016/11/30,,
Y,37,30,,,Li Jinmiao,李金苗,,1971,45,M,Han,Link,Finance,Hubei Tianmeng Investment Group,湖北天盟集团,,Chairman,Hubei,Wuhan,Link,Hubei Tianmeng Investment Group,30,5,24,Hubei,Wuhan,Hubei,Wuhan,Wuhan Univerisity of Technology,武汉理工大学,,University or University Foundation,Education,Corporation,Cash,N,李金苗-Hubei Tianmeng Investment Group-30-5-Wuhan Univerisity of Technology-武汉理工大学,Link,,,,1st,,,,,One from receiver,,Y,Huang YiQing,2016/11/30,,
Y,37,30,,,Gan Yanping,甘燕萍,,,,,,,Real Estate,Foshan Nanhai Yingyu Real Estate Limited,佛山市南海盈裕房地产发展有限公司,N,Chairman and manager,Guangdong,Foshan,,佛山市南海盈裕房地产发展有限公司,7.5,8,5,Guangdong,Foshan,Guangdong,Guangzhou,,广东省扶贫基金会,,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,甘燕萍-佛山市南海盈裕房地产发展有限公司-7.5-8--广东省扶贫基金会,,,,,,,,1st,,,,,Yingyu Li,1/9/2017,,
Y,37,30,,,Gan Yanping,甘燕萍,,,,,,,,,,,,,,,佛山市南海盈裕房地产发展有限公司,7.5,8,5,Guangdong,Foshan,Guangdong,Guangzhou,,广东省扶贫基金会,,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,甘燕萍-佛山市南海盈裕房地产发展有限公司-7.5-8--广东省扶贫基金会,,,,,,,,1st,,,,,Yingyu Li,1/9/2017,,
Y,37,30,,,Gan Yanping,甘燕萍,,,,,,,,,,,,,,,佛山市南海盈裕房地产发展有限公司,7.5,8,5,Guangdong,Foshan,Guangdong,Guangzhou,,广东省扶贫基金会,,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,甘燕萍-佛山市南海盈裕房地产发展有限公司-7.5-8--广东省扶贫基金会,,,,,,,,1st,,,,,Yingyu Li,1/9/2017,,
Y,37,30,,,Gan Yanping,甘燕萍,,,,,,,,,,,,,,,佛山市南海盈裕房地产发展有限公司,7.5,8,5,Guangdong,Foshan,Guangdong,Guangzhou,,广东省扶贫基金会,,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,甘燕萍-佛山市南海盈裕房地产发展有限公司-7.5-8--广东省扶贫基金会,,,,,,,,1st,,,,,Yingyu Li,1/9/2017,,
Y,37,30,,,Chen Letian,陈乐田,,1964,52,M,Han,Link,Finance,Hetian Investment Group,禾田投资集团,,Chairman,Guangdong,Guangzhou,Link,Hetian Investment Group,30,9,17,Guangdong,Guangzhou,Guangdong,Zhuhai,Zhongshan University,中山大学,,School,Education,Corporation,Cash,N,陈乐田-Hetian Investment Group-30-9-Zhongshan University-中山大学,Link,,,,1st,,,,,One from receiver,,Y,Huang YiQing,2016/11/30,,
Y,37,30,,,Gao Qingshou,高庆寿,,1956,60,M,,Link,Manufacturing,"Hubei Guochuang Hi-Tech Material Co., Ltd.",湖北国创高新材料股份有限公司,,Chairman,Hubei,Wuhan,Link,"Hubei Guochuang Hi-Tech Material Co.,Ltd",30,1,28,Hubei,Wuhan,Hubei,Wuhan,Hubei Charity Federation,,,Government Charitable Organization,Unspecified,Corporation,Cash,N,"高庆寿-Hubei Guochuang Hi-Tech Material Co.,Ltd-30-1-Hubei Charity Federation-",Link1,Link2,,,1st,,,,,Third party,,Need to check with the receiver,Huang YiQing,2016/12/1,,
Y,46,28.1,,,Zhou Qingzhi,周庆治,,1955,61,M,Han,Link,Real Estate,Narada Group,南都集团,,Chairman,Shanghai,Shanghai,Link,南都集团,28.1,12,12,Shanghai,Shanghai,Beijing,Beijing,Narada Foundation,,,Non-Government Foundation,Unspecified,Corporation,Cash,N,周庆治-南都集团-28.1-12-Narada Foundation-,Link,,,,,,,1st,,,,,,,,
Y,47,27.5,,,Huang Hongyun,黄红云,,,,M,Han,Link,Real Estate,"Jinke Property Group Co., Ltd.",金科地产集团股份有限公司,Y,Founder and Chairman,Chongqing,Chongqing,Link,"Jinke Property Group Co., Ltd.",27.5,5,30,Chongqing,Chongqing,Chongqing,Chongqing,Chingqing Government,,,Government,Social Welfare & Poverty Alleviation,Corporation,Cash,N,"黄红云-Jinke Property Group Co., Ltd.-27.5-5-Chingqing Government-",Link,,,,1st,,,,,Third party,,Need to check with the receiver,Huang YiQing,2016/12/1,,
Y,48,23,,,He Xiangjian,何享健,,,,,,,,,,,,,,,Midea Group,10,6,30,Guangdong,Foshan,Guangdong,Foshan,Foshan Government,,,Government,Social Welfare & Poverty Alleviation,Corporation,Cash,N,何享健-Midea Group-10-6-Foshan Government-,Link,,,,1st,,,,,One from donor,,Need to check with the receiver,Huang YiQing,2016/12/1,,
Y,48,23,,,He Xiangjian,何享健,,,,,,,,,,,,,,,Midea Group,10,1,6,Guangdong,Foshan,Guangdong,Foshan,北滘镇,,,Government,Social Welfare & Poverty Alleviation,Corporation,Cash,N,何享健-Midea Group-10-1-北滘镇-,Link,,,,1st,,,,,One from recipient,,Need to check with the receiver,Huang YiQing,2016/12/1,,
Y,48,23,,,He Xiangjian,何享健,,1942,74,M,Han,Link,Consumer,Midea Group,美的集团,Y,Main Founder,Guangdong,Foshan,Link,He Xiangjian Foundation,3,1,9,Guangdong,Foshan,Guangdong,Guangzhou,Master of Philanthropic Studies (MPS) Program,,,University or University Foundation,Education,Individual Foundation,Cash,N,何享健-He Xiangjian Foundation-3-1-Master of Philanthropic Studies (MPS) Program-,Link1,Link2,,,1st,,,,,"No specific receiver, but a education program, have started",,Y,Zijia Guo,2016/2/22,,
Y,49,22.67,,,Li Dongsheng,李东生,,1957,59,M,Han,http://baike.baidu.com/item/%E6%9D%8E%E4%B8%9C%E7%94%9F/7086914,Consumer,TCL Corporation,TCL集团公司,Y,Chairman and President,Guangdong,Huizhou,http://www.tcl.com/,深圳市TCL公益基金会,22.67,8,15,Guangdong,Shenzhen,Beijing,Beijing,Beijing Institute of Technology Education Foundation,北京理工大学教育基金会,,University or University Foundation,Education,Corporate Foundation,Cash,N,李东生-深圳市TCL公益基金会-22.67-8-Beijing Institute of Technology Education Foundation-北京理工大学教育基金会,,,,,,,,,,,,,Xueshan Zhang,1/9/2017,,
Y,50,21.5,,,Li Jinyuan,李金元,,1958,58,M,Han,Link,Healthcare,"Tiens Group Co., Ltd.",天津天狮集团有限公司,N,Founder and Chairman,Tianjin,Tianjin,Link,"Tiens Group Co., Ltd",18.5,9,10,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin Government,,,Government,Disaster Relief,Corporation,Cash,N,"李金元-Tiens Group Co., Ltd-18.5-9-Tianjin Government-",Link,,,,1st,,,,,One from donator,,Need to check with the receiver,Zijia Guo,2016/3/17,,
Y,50,21.5,,,Li Jinyuan,李金元,,,,,,,,,,,,,,,天津天狮生物工程有限公司,2,11,9,Tianjing,Tianjing,Sichuan,Tongjiang,China Foundation for Poverty Alleviation,,母婴平安120项目,Government Charitable Organization,Public Health,Corporation,Cash,N,李金元-天津天狮生物工程有限公司-2-11-China Foundation for Poverty Alleviation-,Link,,,,,,,1st,,,,,,,,
Y,50,21.5,,,Li Jinyuan,李金元,,,,,,,,,,,,,,,"Tiens Group Co., Ltd",1,4,23,Tianjin,Tianjin,Sichuan,Tongjiang,Tongjiang Government,,,Government,Social Welfare & Poverty Alleviation,Corporation,Cash,N,"李金元-Tiens Group Co., Ltd-1-4-Tongjiang Government-",Link,,,,1st,,,,,Credible third party,,Y,Huang YiQing,2016/12/2,,
Y,51,20.25,,,Cen Zhaoxiong,岑釗雄,,,,,,,,,,,,,,,Guangzhou Times Property Charity Foundation,12.25,6,29,Guangdong,Guangzhou,Guangdong,,Guangdong Government,,,Government,Social Welfare & Poverty Alleviation,Corporate Foundation,Cash,N,岑釗雄-Guangzhou Times Property Charity Foundation-12.25-6-Guangdong Government-,Link,,,,1st,,,1st,,One from the donator,,Need to check with the receiver,Yiqing Huang,2016/12/1,,
Y,51,20.25,,,Cen Zhaoxiong,岑釗雄,,,,,,,,广州市时代地产公益基金会,,,,,,,广州市时代地产公益基金会,5,8,22,Guangdong,Guangzhou,Guangdong,Guangzhou,,广东省扶贫基金会,,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporate Foundation,Cash,N,岑釗雄-广州市时代地产公益基金会-5-8--广东省扶贫基金会,,,,,,,,1st,,,,,Yingyu Li,1/9/2017,,
Y,51,20.25,,,Cen Zhaoxiong,岑釗雄,,1970,46,M,,Link,Real Estate,Times Property Holdings Limited,时代地产控股有限公司,Y,"Founder, Chairman and CEO",Guangdong,Guangzhou,Link,Guangzhou Times Property Charity Foundation,3,9,9,Guangdong,Guangzhou,Guangdong,Guangzhou,Zhixin High School,,,School,Education,Corporate Foundation,Cash,N,岑釗雄-Guangzhou Times Property Charity Foundation-3-9-Zhixin High School-,Link,,,,1st,,,1st,,One from the donator,,Need to check with the receiver,Zijia Guo,2016/4/15,,
Y,52,20,,,Wu Yeneng,吴业能,碧桂园下属机构，办公地点在碧桂园，直接控股公司持有碧桂园网站的版权，但最终控股是西藏公司与两个自然人，查不到与碧桂园的关系,,,M,,,Construction and Civil Engineering,Guangdong Boyi Buiding Design Company,广东博意建筑设计院有限公司,N,Chairman,Guangdong,Foshan,http://www.sjjob88.com/vip/gdbyjzsjy/,广东博意建筑设计院有限公司,5,10,29,Guangdong,Foshan,Guangdong,Guangzhou,,广东省扶贫基金会,,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,吴业能-广东博意建筑设计院有限公司-5-10--广东省扶贫基金会,,,,,,,,1st,,,,,Yingyu Li,1/9/2017,,
Y,52,20,,,Wu Yeneng,吴业能,碧桂园下属机构，办公地点在碧桂园，直接控股公司持有碧桂园网站的版权，但最终控股是西藏公司与两个自然人，查不到与碧桂园的关系,,,,,,,,,,,,,,广东博意建筑设计院有限公司,5,10,29,Guangdong,Foshan,Guangdong,Guangzhou,,广东省扶贫基金会,,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,吴业能-广东博意建筑设计院有限公司-5-10--广东省扶贫基金会,,,,,,,,1st,,,,,Yingyu Li,1/9/2017,,
Y,52,20,,,Wu Yeneng,吴业能,碧桂园下属机构，办公地点在碧桂园，直接控股公司持有碧桂园网站的版权，但最终控股是西藏公司与两个自然人，查不到与碧桂园的关系,,,,,,,,,,,,,,广东博意建筑设计院有限公司,5,10,29,Guangdong,Foshan,Guangdong,Guangzhou,,广东省扶贫基金会,,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,吴业能-广东博意建筑设计院有限公司-5-10--广东省扶贫基金会,,,,,,,,1st,,,,,Yingyu Li,1/9/2017,,
Y,52,20,,,Wu Yeneng,吴业能,碧桂园下属机构，办公地点在碧桂园，直接控股公司持有碧桂园网站的版权，但最终控股是西藏公司与两个自然人，查不到与碧桂园的关系,,,,,,,,,,,,,,广东博意建筑设计院有限公司,5,10,29,Guangdong,Foshan,Guangdong,Guangzhou,,广东省扶贫基金会,,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,吴业能-广东博意建筑设计院有限公司-5-10--广东省扶贫基金会,,,,,,,,1st,,,,,Yingyu Li,1/9/2017,,
Y,52,20,,,Zhou Zheng,周政,,,,,,,,,,,,,,,三河东胜房地产开发有限公司（天洋控股集团）,10,9,30,Hebei,Langfang,Beijing,Beijing,Communication University of China Education Foundation,传媒大学教育基金会,,University or University Foundation,Education,Corporation,Cash,N,周政-三河东胜房地产开发有限公司（天洋控股集团）-10-9-Communication University of China Education Foundation-传媒大学教育基金会,,,,,,,,,,,,,Xueshan Zhang,1/9/2017,,
Y,52,20,,,Zhou Zheng,周政,,1971,45,M,,http://www.time-weekly.com/html/20150901/31152_1.html,Real Estate,Sky Ocean International Holdings Limited,天洋控股集团,,Largest Shareholder,Beijing,Beijing,http://baike.baidu.com/view/4299391.htm,三河东胜房地产开发有限公司（天洋控股集团）,10,9,30,Hebei,Langfang,Beijing,Beijing,Communication University of China Education Foundation,传媒大学教育基金会,,University or University Foundation,Education,Corporation,Cash,N,周政-三河东胜房地产开发有限公司（天洋控股集团）-10-9-Communication University of China Education Foundation-传媒大学教育基金会,,,,,,,,,,,,,Xueshan Zhang,1/9/2017,,
Y,52,20,,,Kong Lin,孔林,,,,M,,,Environment,Shanghai Ge Run Gu Environmental Technology Co Ltd.,上海格闰谷环境科技有限公司,N,Chairman,Shanghai,Shanghai,,上海格闰谷环境科技有限公司,20,3,31,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai Tongji University Education Development Foundation,上海同济大学教育发展基金会,同济大学长江水环境科学实验船建设基金,University or University Foundation,Education,Corporation,Cash,N,孔林-上海格闰谷环境科技有限公司-20-3-Shanghai Tongji University Education Development Foundation-上海同济大学教育发展基金会,,,,,,,,,,,,,Xueshan Zhang,1/9/2017,,
Y,52,20,,,Zhang Xiaolei,张小雷,,1969,47,M,,Link,Finance,Qianwang Information Industries Holding Group,钱旺信控集团,,Chairman,Shanghai,Shanghai,Link,Zhang Xiaolei,20,10,22,Shanghai,Shanghai,Shanghai,Shanghai,Adream Charitable Foundation,上海真爱梦想公益基金会,,Non-Government Foundation,Education,Individual,Cash,N,张小雷-Zhang Xiaolei-20-10-Adream Charitable Foundation-上海真爱梦想公益基金会,Link,,,,1st,,,2nd,,1 receiver (foundation),,Y,Li Yingyu,2016/12/9,,
Y,52,20,,,Li Yifei,李亦非,,1963,53,M,Han,Link,Service,Holly's Auctions,华艺国际,,Chairman,Guangdong,Guangzhou,Link,Li Yifei,20,11,10,Guangdong,Guangzhou,Hubei,Wuhan,Wuhan University,武汉大学,,University or University Foundation,Education,Individual,Cash,N,李亦非-Li Yifei-20-11-Wuhan University-武汉大学,Link,,,,1st,,,,,One from receiver,,Y,Huang YiQing,2016/11/30,,
Y,52,20,,,Li Guozhang,李国璋,,1966,50,M,,Link,Manufacturing,"Yichang Xingfa Group Co., Ltd.",宜昌兴发集团有限责任公司,,Chairman,Hubei,Yichang,Link,"Yichang Xingfa Group Co.,Ltd",20,1,28,Hubei,Yichang,Hubei,Wuhan,Hubei Charity Federation,,,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,"李国璋-Yichang Xingfa Group Co.,Ltd-20-1-Hubei Charity Federation-",Link1,Link2,,,1st,,,,,Third party,,Need to check with the receiver,Huang YiQing,2016/12/2,,
Y,52,20,,,Liu Tianwei,柳天伟,,1963,53,M,Hani Minority,Link,Energy,BANNA G&P GROUP,西双版纳石化集团有限公司,,Chairman,Yunnan,Xishuangbanna,Link,BANNA G&P GROUP,20,10,16,Yunnan,Xishuangbanna,Yunnan,,Yunnan Government,,,Government,Social Welfare & Poverty Alleviation,Corporation,Cash,N,柳天伟-BANNA G&P GROUP-20-10-Yunnan Government-,Link,,,,1st,,,,,One from receiver,,Y,Huang YiQing,2016/11/30,,
Y,52,20,,,Cai Lianbing,蔡练兵,,,,M,,Link,Manufacturing,Jingui Yinye,郴州金贵银业股份有限公司,,General Counsel,Hunan,Bingzhou,Link,Cai Lianbing,20,12,25,Hunan,Bingzhou,Hubei,Changsha,Central South University,中南大学,,School,Education,Individual,Cash,N,蔡练兵-Cai Lianbing-20-12-Central South University-中南大学,Link,,,,1st,,,,,One from receiver,,Y,Huang YiQing,2016/11/30,,
Y,60,18.94,,,Chen Hongdao,陈鸿道,,,,,,,,,,,,,,,JDB Group Limited,10,9,8,Hong Kong,Hong Kong,Unspecified,,Individual(s),,,Individual(s),Education,Corporation,Cash,N,陈鸿道-JDB Group Limited-10-9-Individual(s)-,,,,,,,,,,One from credible third party,,Y,Huang YiQing,2016/12/1,,
Y,60,18.94,,,Chen Hongdao,陈鸿道,,,,M,Han,Link,Consumer,JDB Group Limited,加多宝集团,N,Chairman,Hong Kong,Hong Kong,Link,JDB Group Limited,8.94,12,31,Hong Kong,Hong Kong,Guangdong,Zhuhai,SYSU Education Development Foundation,广东省中山大学教育发展基金会,中山大学珠海校区建设项目,University or University Foundation,Education,Corporation,Cash,N,陈鸿道-JDB Group Limited-8.94-12-SYSU Education Development Foundation-广东省中山大学教育发展基金会,News Link with higher amount 1,News Link with higher amount 2,News Link with higher amount 3,Foundation Link,1st,,,2nd,,"One source from receiver, others from third party",,Y,Zijia Guo - Yingyu - Xueshan,1/10/2017,,
Y,61,18.696932,,,Liu Qiangdong,刘强东,,1974,42,M,Han,Link,Software and Internet,"JD.COM, Inc.",京东集团,Y,"Founder, Chairman and CEO",Beijing,Beijing,Link,Liu Qiangdong,10,9,,Beijing,Beijing,Tianjin,Tianjin,Center of Receiving Donations for Disaster Relief and Poverty Alleviation in Tianjin,天津市接受救灾扶贫捐赠工作站,,Government,Disaster Relief,Individual,Cash,N,刘强东-Liu Qiangdong-10-9-Center of Receiving Donations for Disaster Relief and Poverty Alleviation in Tianjin-天津市接受救灾扶贫捐赠工作站,,,,,,,1st,,,,Y,,Huang YiQing and Xueshan Zhang,2016/12/7,,
Y,61,18.696932,,,Liu Qiangdong,刘强东,"Liu/JD donates through foundation, refer to self-report sheet and receipts",,,,,,,,,,,,,,"JD.COM, Inc.",2,3,,Beijing,Beijing,Jiangsu,Suqian,Suqian Healthcare Investment Management Center,宿迁市医疗卫生事业投资管理中心,,Government,Public Health,Corporate Foundation,Cash,N,"刘强东-JD.COM, Inc.-2-3-Suqian Healthcare Investment Management Center-宿迁市医疗卫生事业投资管理中心",,,,,,,1st,,,,Y,,Xueshan Zhang,2016/12/7,,
Y,61,18.696932,,,Liu Qiangdong,刘强东,"Liu/JD donates through foundation, refer to self-report sheet and receipts",,,,,,,,,,,,,,"JD.COM, Inc.",2,3,,Beijing,Beijing,Jiangsu,Suqian,Suyu District Civil Affair Bureau,宿迁市宿豫区民政局,,Government,Unspecified,Corporate Foundation,Cash,N,"刘强东-JD.COM, Inc.-2-3-Suyu District Civil Affair Bureau-宿迁市宿豫区民政局",,,,,,,1st,,,,Y,,Xueshan Zhang,2016/12/7,,
Y,61,18.696932,,,Liu Qiangdong,刘强东,,,,,,,,,,,,,,,"JD.COM, Inc.",2,11,,Beijing,Beijing,Beijing,Beijing,China Foundation for Development of Financial Education,中国金融教育发展基金会,,Government Charitable Organization,Education,Corporation,Cash,N,"刘强东-JD.COM, Inc.-2-11-China Foundation for Development of Financial Education-中国金融教育发展基金会",Link1,,,,,,1st,2nd,,,Y,,Xueshan Zhang,2016/12/7,,
Y,61,18.696932,,,Liu Qiangdong,刘强东,"Liu/JD donates through foundation, refer to self-report sheet and receipts",,,,,,,,,,,,,,Liu Qiangdong,1,9,,Beijing,Beijing,Shanghai,Shanghai,Ding Wenzhi's daughter - education fee,丁文志女儿 - 教育费用,,Individual(s),Education,Corporate Foundation,Cash,N,刘强东-Liu Qiangdong-1-9-Ding Wenzhi's daughter - education fee-丁文志女儿 - 教育费用,,,,,,,1st,,,,Y,,Xueshan Zhang,2016/12/7,,
Y,61,18.696932,,,Liu Qiangdong,刘强东,,,,,,,,,,,,,,,"JD.COM, Inc.",1,10,,Beijing,Beijing,Beijing,Beijing,China Women‘s Development Foundation,中国妇女发展基金会,,Government Charitable Organization,Public Health,Corporation,Cash,N,"刘强东-JD.COM, Inc.-1-10-China Women‘s Development Foundation-中国妇女发展基金会",Link1,,,,2nd,,1st,,,,N,,Xueshan Zhang,2016/12/7,,
Y,61,18.696932,,,Liu Qiangdong,刘强东,"Liu/JD donates through foundation, refer to self-report sheet and receipts",,,,,,,,,,,,,,"JD.COM, Inc.",0.5403821,3,,Beijing,Beijing,Hebei,"Wu'an, Jingxing",One Foundation,深圳壹基金公益基金会,,Non-Government Foundation,Disaster Relief,Corporate Foundation,Goods,N,"刘强东-JD.COM, Inc.-0.5403821-3-One Foundation-深圳壹基金公益基金会",,,,,,,1st,,,,N-only receipt of goods purchase by JD foundation at JD.com,,Xueshan Zhang,2016/12/7,,
Y,61,18.696932,,,Liu Qiangdong,刘强东,"Liu/JD donates through foundation, refer to self-report sheet and receipts",,,,,,,,,,,,,,"JD.COM, Inc.",0.5,7,,Beijing,Beijing,Beijing,Beijing,China Children and Teenager's Fund,中国儿童少年基金会,,Government Charitable Organization,Unspecified,Corporate Foundation,Cash,N,"刘强东-JD.COM, Inc.-0.5-7-China Children and Teenager's Fund-中国儿童少年基金会",,,,,,,1st,,,,Y,,Xueshan Zhang,2016/12/7,,
Y,61,18.696932,,,Liu Qiangdong,刘强东,,,,,,,,,,,,,,,"JD.COM, Inc.",0.3985727,7,,Beijing,Beijing,Hubei,"Shayang, Zhongxiang, Shashi, Hong'an, Macheng",Hubei Youth Development Foundation,湖北省青少年发展基金会,,Government Charitable Organization,Disaster Relief,Corporation,Goods,N,"刘强东-JD.COM, Inc.-0.3985727-7-Hubei Youth Development Foundation-湖北省青少年发展基金会",,,,,,,1st,,,,N,,Xueshan Zhang,2016/12/7,,
Y,61,18.696932,,,Liu Qiangdong,刘强东,"Liu/JD donates through foundation, refer to self-report sheet and receipts",,,,,,,,,,,,,,"JD.COM, Inc.",0.3477,7,,Beijing,Beijing,Guangxi,Baise,Baise Education Foundation,百色市教育基金会,,Government Charitable Organization,Education,Corporate Foundation,Goods,N,"刘强东-JD.COM, Inc.-0.3477-7-Baise Education Foundation-百色市教育基金会",,,,,,,1st,,,,Y,,Xueshan Zhang,2016/12/7,,
Y,61,18.696932,,,Liu Qiangdong,刘强东,"Liu/JD donates through foundation, refer to self-report sheet and receipts",,,,,,,,,,,,,,"JD.COM, Inc.",0.34165333,3,,Beijing,Beijing,Jiangsu,Funing,One Foundation,深圳壹基金公益基金会,,Non-Government Foundation,Disaster Relief,Corporate Foundation,Goods,N,"刘强东-JD.COM, Inc.-0.34165333-3-One Foundation-深圳壹基金公益基金会",,,,,,,1st,,,,N-only receipt of goods purchase by JD foundation at JD.com,,Xueshan Zhang,2016/12/7,,
